#OTU ID	NB10	NB11	NB12	NB13	NB14	NB15	NB16	NB17	NB18	NB19	NB1	NB20	NB21	NB22	NB23	NB24	NB25	NB26	NB27	NB28	NB29	NB2	NB30	NB31	NB32	NB33	NB34	NB35	NB36	NB37	NB38	NB39	NB3	NB40	NB4	NB5	NB6	NB7	NB8	NB9
Otu1	19815	0	0	0	0	3327	0	0	0	1899	30825	0	2570	4031	0	0	0	3793	0	0	16868	26953	0	0	0	0	0	0	0	0	7769	0	34218	0	35339	33364	28663	33472	33440	29681
Otu19	1961	884	0	0	0	1033	0	0	0	303	4116	0	356	592	449	0	0	521	759	0	1811	3212	0	0	0	0	250	0	0	328	778	203	4475	0	3514	4290	3337	3627	4385	4729
Otu15	19226	0	0	0	160	0	0	0	0	821	0	0	0	471	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0
Otu6	3192	408	0	0	0	978	0	0	0	0	5705	0	463	650	0	0	0	415	0	0	1543	4337	0	0	0	0	0	0	0	0	1062	0	5615	0	5690	6164	4000	4697	5855	6075
Otu29	172	136	0	359	0	177	0	0	369	107	435	58	424	388	574	394	435	321	0	379	273	265	0	238	287	560	169	174	582	125	91	214	643	217	318	244	458	488	685	308
Otu3	0	6122	0	2915	1335	4016	1357	0	4754	3075	0	0	10578	9998	15309	7847	5872	5296	0	16756	3424	739	0	1091	5660	5159	5951	2907	5995	2203	0	4683	0	1634	0	0	1509	0	0	955
Otu31	247	272	0	0	0	151	0	0	784	67	442	0	86	45	63	0	0	0	0	191	347	376	0	0	87	41	0	0	64	89	128	56	468	55	456	236	545	361	479	1175
Otu8	470	3061	0	1433	427	1262	302	0	1479	1218	1021	0	3009	3052	4728	3218	2719	1426	0	4579	2205	1191	0	406	1981	1992	2199	509	1604	781	638	1142	1020	531	473	388	2563	1434	503	1601
Otu37	113	136	0	0	0	0	151	0	56	785	447	743	0	0	0	0	0	72	0	0	226	3238	0	0	0	0	0	0	36	39	0	54	0	0	103	0	861	0	0	336
Otu27	63	1224	0	657	107	336	151	0	461	134	52	0	124	171	357	677	642	49	0	197	171	46	0	173	458	487	538	138	498	162	57	350	56	95	0	37	272	115	106	60
Otu4	0	816	0	749	0	0	0	0	0	0	0	0	706	448	1233	8847	9065	492	0	1525	0	0	0	2650	7938	10030	10535	4853	8256	1704	0	7921	0	3171	0	0	0	0	0	0
Otu9	0	0	0	0	534	0	28959	0	1180	2026	465	4142	2072	6314	1080	659	418	18407	0	3812	6959	598	0	0	466	468	0	0	2260	0	0	0	0	0	0	0	0	0	0	450
Otu80	136	68	0	0	0	134	302	0	60	255	78	579	85	45	365	68	62	739	0	248	179	151	0	34	0	45	0	65	558	35	0	562	0	0	465	51	0	0	154	422
Otu51	200	68	0	0	0	53	0	0	0	42	685	0	57	0	84	0	0	39	0	33	47	315	0	0	0	0	24	0	0	28	82	0	486	0	388	248	525	526	396	268
Otu38	212	0	0	0	0	0	0	0	0	31	1353	0	0	0	0	0	0	0	0	0	0	1049	0	0	0	0	0	0	0	41	39	0	234	0	271	168	1284	512	407	249
Otu47	0	68	83	44	1442	107	0	0	0	524	0	212	0	0	0	52	0	88	0	36	0	0	0	0	59	69	37	62	105	0	3686	434	0	0	111	0	62	0	0	0
Otu24	0	1156	0	317	374	739	0	0	212	100	0	0	110	0	357	566	1124	114	0	182	302	0	0	107	301	632	524	176	468	190	0	540	0	187	0	0	0	0	0	0
Otu36	38	204	0	0	0	25	0	0	77	161	84	20	377	105	0	281	525	47	0	651	32	38	0	139	293	351	257	78	127	73	0	121	0	114	24	0	32	0	33	56
Otu44	29	0	0	0	0	0	75	0	0	79	187	234	0	50	0	0	0	0	0	0	0	591	0	0	0	0	0	34	77	21	0	1866	0	77	25	0	271	19	0	115
Otu20	92	272	0	196	53	148	75	0	467	211	82	0	1036	465	1506	898	773	502	0	1749	315	150	0	200	683	449	452	203	385	166	73	277	71	103	0	102	213	0	196	66
Otu79	0	204	0	24	0	146	0	0	242	44	16	10	96	209	32	125	141	176	0	96	74	16	0	41	125	57	131	34	64	24	20	39	0	18	0	0	66	30	0	24
Otu11	0	2109	0	367	1175	1222	5053	0	1106	17181	416	17844	13892	1152	1270	1485	500	3850	0	1185	678	613	0	3029	634	1214	645	473	1830	371	0	4592	0	497	535	0	501	376	486	0
Otu10	0	3878	0	2033	321	2178	830	0	1555	1828	162	236	422	617	443	1553	1652	537	0	612	2073	220	0	397	1569	1407	3394	1017	1720	940	0	1391	0	720	0	0	356	346	0	161
Otu35	0	68	0	382	0	0	75	0	48	0	0	26	0	0	0	0	0	0	0	0	37	73	0	0	42	0	3460	0	0	47	0	0	0	0	82	0	250	1019	0	52
Otu12	0	0	0	112	0	132	151	0	284	98	0	0	1876	1570	3208	3477	1714	1503	96	3349	124	0	0	406	830	818	776	196	354	309	0	189	0	182	0	0	0	0	0	0
Otu42	71	0	0	0	0	88	0	0	0	71	62	0	47	88	74	137	190	0	0	0	39	143	0	43	34	641	381	78	627	37	50	166	87	112	45	93	187	180	160	125
Otu57	24	680	0	91	0	202	0	0	294	42	60	0	84	0	173	372	915	125	0	110	252	31	0	68	166	145	383	154	182	48	27	149	33	67	26	51	0	32	35	80
Otu33	0	476	0	220	53	396	0	0	393	253	0	0	702	453	939	850	698	347	0	290	184	0	0	61	751	835	458	504	511	166	0	328	0	229	0	0	115	0	0	52
Otu90	0	0	0	0	0	0	0	0	0	297	58	109	0	78	0	84	0	0	0	0	166	611	0	0	0	0	0	24	238	24	0	1731	0	28	0	0	243	30	0	109
Otu56	21	0	0	49	0	61	0	0	16	19	58	0	30	0	0	0	0	0	51	0	0	112	0	52	26	0	54	1450	21	947	110	0	73	245	23	0	79	37	51	28
Otu69	0	0	203	294	374	58	0	241	0	56	0	0	69	108	0	159	0	118	85	0	0	0	0	118	30	33	0	170	0	0	23	0	16	568	0	0	0	0	54	0
Otu14	0	1293	0	0	748	1947	0	4146	1982	203	0	0	0	113	0	0	1377	123	5104	0	0	0	0	0	293	596	0	491	0	1728	664	0	0	1744	0	0	0	0	0	162
Otu16	0	408	0	364	0	196	0	0	0	194	0	0	0	108	0	0	0	0	0	113	229	0	0	0	0	0	5850	1890	2985	1823	0	3185	0	1626	0	0	0	0	0	0
Otu25	0	136	0	445	214	521	0	0	1269	815	51	94	310	217	741	263	231	251	0	693	565	0	0	0	333	277	203	0	230	106	0	247	0	91	0	93	0	0	0	58
Otu110	0	68	265	115	267	306	0	990	0	15	22	0	0	0	0	0	0	0	0	36	0	15	0	0	0	0	0	0	47	22	0	0	0	525	0	0	18	0	0	15
Otu13	0	476	600	2140	5983	419	151	1356	191	633	0	180	214	674	0	0	529	0	1451	0	239	0	0	0	0	141	0	6624	0	2101	3662	0	0	2762	0	0	0	0	0	0
Otu59	0	340	206	2423	0	1059	75	121	0	426	0	88	0	0	0	0	0	0	524	0	0	0	0	316	468	439	0	154	36	0	0	0	0	446	0	0	0	0	0	0
Otu22	0	0	0	167	481	0	151	17668	338	0	0	162	0	0	0	181	0	0	425	0	0	0	0	222	0	0	155	897	0	112	1398	385	0	0	0	0	0	0	0	0
Otu126	0	68	99	47	2404	48	226	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
Otu23	0	1361	154	1647	481	3460	452	2609	0	522	0	2128	0	808	176	0	235	161	3403	0	137	0	0	0	0	0	0	0	232	235	139	0	0	292	0	0	0	0	0	0
Otu21	0	1293	245	301	1122	2935	980	611	212	744	0	0	0	431	0	0	296	0	5621	230	0	0	0	413	394	725	0	723	0	153	0	0	0	4569	0	0	0	0	0	0
