	sequences per sample	iteration	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
alpha_rarefaction_250_0.txt	250	0	53.5	91.3636363636	90.0	126.666666667	16.0	105.0	20.3333333333	94.9090909091	135.75	12.3333333333	122.428571429	120.272727273	98.5	32.0	565.0	82.0833333333	13.0	13.0	124.0	96.5	86.5	15.0	9.0	8.75	11.0	8.5	26.0	13.3333333333	7.5	82.0	20.5	20.0	23.5	23.5	5.0	11.0
alpha_rarefaction_250_1.txt	250	1	79.0	102.0625	120.75	205.857142857	11.5	122.333333333	32.0	89.5	65.0909090909	13.0	75.1111111111	79.625	87.1111111111	13.5	114.25	90.2307692308	11.0	9.0	89.0	60.6	78.6666666667	9.0	8.75	28.0	30.0	18.5	9.5	18.5	20.5	44.5	13.0	40.0	26.3333333333	8.0	9.0	13.3333333333
alpha_rarefaction_250_2.txt	250	2	58.0	112.666666667	88.1666666667	96.0	13.75	117.666666667	22.3333333333	156.625	82.2	22.3333333333	135.2	81.1428571429	112.0	51.3333333333	236.0	108.0	25.0	11.0	39.5	52.375	130.333333333	6.5	18.0	16.0	12.0	7.33333333333	6.33333333333	26.25	19.0	82.0	15.0	22.5	20.2	19.5	10.0	8.6
alpha_rarefaction_250_3.txt	250	3	101.2	90.0769230769	306.0	182.2	8.25	113.8	17.5	115.125	131.5	15.0	73.0	89.8333333333	124.6	20.2	101.0	139.142857143	12.0	8.5	82.0	75.0	199.0	18.0	13.0	12.5	18.5	11.0	12.3333333333	9.33333333333	40.0	64.0	23.5	11.0	51.0	17.5	9.0	14.0
alpha_rarefaction_250_4.txt	250	4	53.0	99.25	159.0	324.333333333	13.0	114.125	49.0	158.625	77.6666666667	16.5	103.2	68.0909090909	88.5	36.0	258.0	85.3333333333	26.0	7.25	81.0	55.2	122.2	7.0	11.0	13.0	10.0	8.0	11.0	15.0	26.0	38.0	34.0	10.0	33.75	60.0	10.0	11.0
alpha_rarefaction_250_5.txt	250	5	67.4285714286	126.0	137.2	243.333333333	7.5	126.857142857	10.0	92.2307692308	88.3636363636	12.0	108.0	83.5	125.0	45.5	106.2	115.666666667	9.0	12.0	41.0	62.6	65.4285714286	9.0	12.5	13.3333333333	14.0	5.0	14.0	33.0	31.0	44.0	12.5	17.25	46.75	28.0	14.0	10.0
alpha_rarefaction_250_6.txt	250	6	87.2	117.090909091	109.6	325.5	26.0	126.5	23.0	161.6	103.333333333	8.5	101.25	100.272727273	108.0	14.5	114.333333333	91.0714285714	28.0	13.0	31.0	159.5	72.3333333333	7.0	39.0	21.5	15.0	10.0	11.0	13.0	10.0	36.5	21.0	36.5	34.75	60.0	17.5	31.0
alpha_rarefaction_250_7.txt	250	7	64.4285714286	94.0666666667	143.75	150.6	14.5	133.428571429	25.0	149.0	154.142857143	11.0	67.1111111111	93.0	122.0	41.0	182.0	80.0714285714	12.0	9.0	35.5	83.6	74.3333333333	11.0	14.0	11.0	23.0	11.0	9.5	16.0	10.0	43.0	9.0	11.0	63.0	8.2	14.3333333333	24.0
alpha_rarefaction_250_8.txt	250	8	99.2	103.6	73.1666666667	207.0	18.25	258.0	19.5	81.2727272727	90.2142857143	6.5	71.0833333333	76.6666666667	88.5	63.0	130.5	112.111111111	14.0	21.5	24.3333333333	152.0	77.0	9.0	12.0	9.0	13.3333333333	21.5	13.0	19.0	18.0	75.0	20.0	22.2	66.5	59.0	9.0	14.0
alpha_rarefaction_250_9.txt	250	9	58.0	139.3	153.25	329.25	10.0	72.25	15.5	139.666666667	80.0	39.0	100.142857143	139.666666667	150.5	18.0	105.2	81.2727272727	11.0	8.0	20.6	97.25	111.5	9.5	49.0	15.0	21.5	10.5	10.0	10.0	24.0	32.75	71.0	58.0	20.1428571429	16.0	8.33333333333	16.5
alpha_rarefaction_500_0.txt	500	0	108.75	126.153846154	163.0	167.0	27.0	158.272727273	35.5	174.153846154	200.909090909	22.0	276.0	171.666666667	139.6	128.0	207.857142857	160.0	28.0	20.0	69.75	94.1111111111	210.0	14.0	19.25	21.5	41.0	15.0	27.25	28.25	7.0	171.0	17.75	51.3333333333	94.3333333333	84.0	21.0	34.0
