OTU_ID	VD25	VD26	VD27	VD28	VD29	VD30	VD31	VD32	VD33	VD36	VD37	VD38	taxonomy
Otu1	373	140	0	0	0	0	0	0	125	175	0	227	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Flavisolibacter
Otu10	109	267	326	453	425	406	280	212	430	351	321	162	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Nitrosomonadaceae;D_5__MND1
Otu101	109	20	39	45	92	9	137	183	42	96	45	178	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus
Otu102	194	73	111	91	55	179	20	58	90	112	116	300	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__Gaiellaceae;D_5__Gaiella
Otu103	1164	360	183	290	305	123	383	289	514	303	250	843	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine-Group-II;D_4__uncultured-archaeon;D_5__
Otu104	16	173	163	118	65	113	178	202	49	88	36	0	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;Ambiguous_taxa;D_4__;D_5__
Otu105	171	133	131	54	111	123	143	193	139	72	98	138	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-bacterium;D_4__;D_5__
Otu106	23	213	144	109	120	76	130	67	153	56	187	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__uncultured
Otu107	8	47	78	118	65	94	55	39	62	96	62	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa
Otu108	85	113	72	63	120	94	20	19	132	56	27	73	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Tepidisphaerales;D_4__WD2101-soil-group;D_5__uncultured-bacterium
Otu1087	23	73	124	145	83	104	55	29	118	127	116	41	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Microvirga
Otu109	0	67	65	54	129	76	143	77	194	167	107	0	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae;D_5__uncultured-bacterium
Otu11	466	880	705	635	786	567	1059	1357	451	773	536	259	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-bacterium;D_4__;D_5__
Otu110	0	0	0	0	18	0	0	10	0	8	18	16	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Phenylobacterium
Otu111	31	120	78	36	65	132	130	106	187	56	152	8	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__uncultured
Otu112	23	80	78	73	222	217	178	193	208	159	187	32	D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136;D_3__uncultured-bacterium;D_4__;D_5__
Otu113	0	80	78	73	92	66	109	202	62	96	62	8	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-bacterium-gp6;D_4__;D_5__
Otu114	85	160	222	199	157	227	123	154	243	143	205	219	D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured-bacterium;D_4__;D_5__
Otu1156	295	213	248	218	148	142	212	106	160	215	250	413	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas
Otu116	16	33	59	145	18	161	89	58	139	215	134	32	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__uncultured-archaeon
Otu1169	8	113	46	63	28	19	0	19	76	96	27	41	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Flavisolibacter
Otu117	124	73	59	63	120	28	137	77	83	80	71	146	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium
Otu119	47	107	137	136	74	104	20	0	187	72	116	32	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Microvirga
Otu12	458	273	359	118	499	264	362	549	174	127	366	503	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Nocardioides
Otu120	47	87	170	109	83	76	239	202	49	127	125	24	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-Acidobacteria-bacterium;D_4__;D_5__
Otu122	101	113	137	136	129	123	116	48	125	159	205	154	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__uncultured
Otu123	0	13	13	9	0	28	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae;D_5__Lysobacter
Otu124	171	160	118	118	102	76	41	58	28	80	36	105	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-bacterium;D_4__;D_5__
Otu125	295	67	0	0	0	0	0	0	97	0	0	316	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales;D_4__Micromonosporaceae;D_5__Salinispora
Otu126	194	273	215	163	111	189	130	96	180	167	152	186	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Mesorhizobium
Otu127	62	180	104	145	397	161	287	279	118	191	116	24	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup-6;D_3__uncultured-bacterium;D_4__;D_5__
Otu128	0	13	46	18	18	0	20	58	28	96	18	24	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Chitinophaga
