SampleID	species	age	sex	tissue	diet
E65	pallidipes	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E66	pallidipes	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E67	pallidipes	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E68	pallidipes	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E55	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E56	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E57	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E58	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E59	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E60	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E43	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E44	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E45	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet
E46	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E47	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E48	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet
E61	pallidipes	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E62	pallidipes	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E63	pallidipes	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E64	pallidipes	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E49	gambiensis	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E50	gambiensis	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E51	gambiensis	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E52	gambiensis	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E53	gambiensis	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E54	gambiensis	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E37	morsitans	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E38	morsitans	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E39	morsitans	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet
E40	morsitans	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E41	morsitans	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
E42	morsitans	Teneral flies	females	guts	Tetracycline/Vanderzant vitamin mixture diet
G3	pallidipes	16 days old	males	testes	Vanderzant vitamin mixture diet
G11	pallidipes	16 days old	males	testes	Vanderzant vitamin mixture diet
G34	pallidipes	16 days old	males	testes	Vanderzant vitamin mixture diet
G1	pallidipes	16 days old	males	guts	Vanderzant vitamin mixture diet
G10	pallidipes	16 days old	males	guts	Vanderzant vitamin mixture diet
G17	pallidipes	16 days old	males	guts	Vanderzant vitamin mixture diet
G14	gambiensis	16 days old	males	testes	Vanderzant vitamin mixture diet
G25	gambiensis	16 days old	males	testes	Vanderzant vitamin mixture diet
G32	gambiensis	16 days old	males	testes	Vanderzant vitamin mixture diet
G2	gambiensis	16 days old	males	guts	Vanderzant vitamin mixture diet
G9	gambiensis	16 days old	males	guts	Vanderzant vitamin mixture diet
G28	gambiensis	16 days old	males	guts	Vanderzant vitamin mixture diet
G12	morsitans	16 days old	males	testes	Vanderzant vitamin mixture diet
G15	morsitans	16 days old	males	testes	Vanderzant vitamin mixture diet
G16	morsitans	16 days old	males	testes	Vanderzant vitamin mixture diet
G4	morsitans	16 days old	males	guts	Vanderzant vitamin mixture diet
G26	morsitans	16 days old	males	guts	Vanderzant vitamin mixture diet
G31	morsitans	16 days old	males	guts	Vanderzant vitamin mixture diet
G6	pallidipes	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G24	pallidipes	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G30	pallidipes	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G5	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet
G8	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet
G27	pallidipes	16 days old	females	guts	Vanderzant vitamin mixture diet
G7	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G13	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G21	gambiensis	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G22	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet
G23	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet
G29	gambiensis	16 days old	females	guts	Vanderzant vitamin mixture diet
G33	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G38	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G39	morsitans	16 days old	females	ovaries	Vanderzant vitamin mixture diet
G35	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet
G36	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet
G37	morsitans	16 days old	females	guts	Vanderzant vitamin mixture diet
E31	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet
E32	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet
E33	pallidipes	Teneral flies	males	testes	Vanderzant vitamin mixture diet
E34	pallidipes	Teneral flies	males	guts	Vanderzant vitamin mixture diet
