SampleID	species	age	sex	tissue	diet	mix_diet	sp_diet
E65	pallidipes	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
E66	pallidipes	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
E67	pallidipes	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
E68	pallidipes	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
E55	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E56	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E57	gambiensis	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E58	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E59	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E60	gambiensis	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	gambiensis/Tertacycline
E43	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E44	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E45	morsitans	Teneral flies	males	testes	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E46	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E47	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E48	morsitans	Teneral flies	males	guts	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	morsitans/Tertacycline
E61	pallidipes	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
E62	pallidipes	Teneral flies	females	ovaries	Tetracycline/Vanderzant vitamin mixture diet	Tertacycline	pallidipes/Tertacycline
