#OTU ID	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C2	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C4	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C5	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C6	C70	C71	C72	C7	C8	C9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E1	E20	E21	E22	E23	E24	E25	E26	E27	E28	E29	E2	E30	E31	E32	E33	E34	E35	E36	E37	E38	E39	E3	E40	E41	E42	E43	E44	E45	E46	E47	E48	E49	E4	E50	E51	E52	E53	E54	E55	E56	E57	E58	E59	E5	E60	E61	E62	E63	E64	E65	E66	E67	E68	E6	E7	E8	E9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F1	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F2	F30	F31	F32	F33	F34	F35	F36	F3	F4	F5	F6	F7	F8	F9	G10	G11	G12	G13	G14	G15	G16	G17	G1	G21	G22	G23	G24	G25	G26	G27	G28	G29	G2	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G3	G4	G5	G6	G7	G8	G9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I1	I20	I21	I22	I23	I24	I25	I26	I27	I28	I29	I2	I30	I31	I32	I33	I34	I35	I36	I3	I4	I5	I6	I7	I8	I9
Otu9	3722	774	2150	2610	2742	183	401	5	9	2017	3230	2832	2718	2635	3288	1106	1769	2378	1959	3037	2373	4239	2476	2759	3103	1967	140	223	3	2299	2223	3367	2310	891	3338	1827	246	127	22	2373	1980	979	188	2264	38	27	1864	2152	2096	142	102	30	1229	1329	3797	2068	110	48	3	308	211	67	18	3	53	3753	356	73	102	43	15	38	10	125	45	1263	1326	1226	62	170	74	410	822	941	392	16	159	74	1659	1489	1321	31	5	454	3	248	816	1701	93	39	10	2684	2503	112	233	698	1436	1290	403	468	1238	342	987	1390	1614	1	1866	1417	5	2639	450	752	904	433	25	739	100	25	1166	638	478	1317	1738	1483	1047	1015	10	53	282	373	35	1007	2	195	465	340	3	0	5	54	947	15	107	8	15	218	101	125	154	4	6	324	62	19	27	2	9	0	6	480	2	5	2	61	152	145	16	79	118	10	10	5	8	4	6275	15	3	11	46	62	1	7497	5	0	1203	0	8	536	304	846	6	24	4	227	125	30	5	20334	71	0	5698	2709	358	36	510	2128	3009	2043	1554	922	1172	40	436	40	35	51	75	326	2374	2165	3257	77	1489	3533	400	1917	3915	2775	81	137	862	19	2321	1463	2553	194	2882	2113
Otu7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	376	0	0	0	0	4247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513	2251	0	521	0	0	28361	9299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28700	0	947	0	0	0	0	0
Otu1	585	35342	7135	1937	3047	5538	42265	4975	49834	4949	63	1642	8288	62	26	31534	3780	2219	1928	186	130	1300	878	69	282	146	47178	45986	1284	444	300	281	102	3200	3449	2671	42703	46602	662	2368	5644	5338	46033	104	48863	49184	11275	7215	21751	45602	48131	49161	4303	7058	1435	6569	48129	46615	48525	36296	34808	30510	49090	49770	49242	321	3602	1727	4691	49168	49665	48969	315	29295	46050	14494	19391	22250	48889	47185	48149	37355	1627	39531	40462	35064	46067	48754	11109	12846	14887	49241	1634	3490	507	1782	28908	8843	44824	8739	3424	235	145	30774	3357	615	1112	13613	3203	192	2724	3774	355	32	8687	460	4961	555	10953	1081	34779	20809	14048	1187	49189	2663	46762	49444	67	271	329	274	619	360	138	541	319	19410	20033	36438	962	949	45204	40936	34053	35867	49594	49614	49749	47563	33871	27320	44173	49656	22314	48878	46768	43089	42469	49467	49343	43647	49233	17408	26425	31500	48800	16601	49745	37147	1559	49898	49678	48720	44692	40756	21513	46627	45653	49651	49320	47167	48582	49938	5326	49723	47922	47666	45892	48530	7911	2222	16980	25954	40652	48702	49938	36059	29961	38109	44690	48368	40531	26025	26511	47278	49685	16126	42444	46097	30975	44976	25482	238	18917	5156	10312	17286	15763	25406	23935	49027	14	48643	41731	9855	11748	40568	10423	397	548	48770	12634	286	120	1627	665	101	7747	163	206	48518	454	1029	60	176	1967	951
Otu2	35592	11366	32153	32057	34283	7562	6233	71	113	27378	40752	36838	32072	34316	35575	12905	36881	36082	38839	32113	33131	35899	34742	38701	42179	39937	2193	2605	119	40385	41176	37399	41720	39594	34134	33185	5786	2853	189	40088	36510	39235	3180	38664	851	381	33812	12785	21899	2248	1223	382	24571	23248	34682	34246	1161	412	91	4744	1970	1318	178	92	349	36058	3333	1595	1659	628	191	847	95	2277	564	14406	20371	19466	564	1601	960	5617	7802	6607	6235	269	1985	570	23329	25466	22967	378	113	4537	34	6984	13027	24925	1518	653	341	27921	31779	1679	2423	29418	22262	22139	6117	11418	17791	7740	16650	14900	29729	24	29979	23219	39	26822	6905	9469	10706	21796	326	12851	747	140	25434	22278	17372	15140	22693	17635	14406	12497	72	660	2273	3147	6	11	7	2416	5561	4740	81	129	44	955	10030	335	2092	55	32	22	863	2133	2694	40	69	3997	486	189	269	110	52	9	52	7910	18	46	17	600	2006	2507	226	187	3193	102	74	11	40	33	28	123	86	147	686	402	8	2	8	10	10	38	13	8660	2405	7413	62	264	133	5037	6643	30	147	33	451	558	54	90	3771	398	12484	31573	28469	24056	28486	18624	18366	747	4381	1002	447	878	1402	2684	24051	20334	31190	936	18837	36564	4876	43665	36194	39997	809	2216	14935	267	41818	43829	33393	4485	36520	26044
Otu3	5563	1933	3350	2557	3593	711	550	5	10	3750	4920	3604	3266	6042	2770	1698	3711	4558	4674	3880	3928	6854	2709	4765	2865	2507	162	319	3	3238	4014	5774	5095	4638	6017	4501	376	201	7	3715	3847	1601	320	4124	133	47	2053	2658	2367	235	159	68	1661	1738	6244	2190	158	73	12	529	229	89	45	3	66	7235	550	113	41	84	23	75	18	384	82	2415	3272	1514	56	197	121	901	739	813	780	35	179	32	1895	3717	2393	63	9	438	3	813	1501	3619	144	79	32	4365	2008	127	289	2822	2602	2203	516	888	1987	688	1932	1575	3120	0	2551	1725	7	3395	922	907	2039	1222	33	730	96	15	1409	626	556	898	1137	2431	1049	1024	7	109	251	298	3	0	0	177	649	537	0	4	8	92	993	10	151	0	6	0	93	244	381	0	19	477	80	38	23	0	0	0	0	311	2	2	4	57	243	272	34	49	177	18	17	3	0	2	3	16	6	30	46	0	0	2	0	1	2	8	0	1475	352	945	3	45	20	389	408	1	31	7	96	0	2	3	446	45	1975	3496	5027	4330	3400	2288	2512	82	568	116	43	68	119	306	4492	3297	6229	115	2878	5825	532	2247	6935	5289	99	178	1572	19	3410	2441	4926	359	4729	3360
Otu13	582	105	286	347	94	24	46	1	2	218	387	244	335	250	283	201	135	387	197	338	452	550	348	370	260	243	19	37	0	445	244	396	202	86	398	237	54	13	0	207	168	89	5	333	0	0	104	380	358	12	11	2	204	161	604	852	16	4	6	59	11	0	4	0	0	400	32	0	0	3	1	1	2	21	1	184	117	97	6	15	7	9	95	131	124	5	22	0	188	199	208	8	1	69	1	27	101	306	14	5	1	382	306	0	19	106	121	107	64	52	229	66	140	113	215	0	213	141	0	367	79	62	172	32	2	91	6	1	102	126	42	221	91	181	229	110	2	0	31	10	0	0	0	18	86	31	0	0	0	0	72	0	4	4	0	0	8	22	30	0	0	39	4	5	0	0	3	0	0	28	0	0	0	16	10	9	2	0	0	0	0	0	0	0	1	2	0	4	5	0	0	0	0	1	0	0	0	27	73	0	0	4	0	10	19	0	0	0	5	0	0	0	2	5	64	133	420	362	134	87	128	2	38	0	0	7	12	10	448	315	287	1	162	763	74	136	480	194	8	53	106	9	195	72	354	3	265	164
Otu14	0	0	394	0	0	7585	0	0	0	674	0	0	452	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	466	0	0	0	201	0	0	0	0	0	0	0	326	0	0	0	0	0	0	8592	0	0	0	10895	2691	0	0	0	0	0	0	219	0
Otu25	0	0	510	0	0	3317	0	0	0	185	0	0	237	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	198	0	0	0	0	0	0	0	109	0	0	0	0	0	0	4770	0	0	0	4624	1207	0	0	0	0	0	0	0	0
Otu8	0	0	0	1849	0	0	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1487	0	0	0	19215	0	0	0	0	0	0	0	0	0	0	6324	38508	35752	0	0	0	0	0	0	0	0	0	0	0	0	31137	0	0	0	0	0	0	0	0
Otu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46730	0	0	0	0	0	0	0	0	0	48806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2328	0	0	0	7367	0	3122	0	0	0	2308	0	45127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
